LEAF_CATEG_ID,LEAF_CATEG_NAME
42130,Home & Garden:Home Improvement:Building & Hardware:Building Plans & Blueprints
94832,Consumer Electronics:Car Electronics:Car Alarms & Security:Remote Start/Alarm Combos:With 2-Way Paging
50726,Collectibles:Animals:Dogs:Wheaten Terrier
50904,Business & Industrial:Construction:Heavy Equipment:Excavators:Other Excavators
51288,"Computers/Tablets & Networking:Printers, Scanners & Supplies:Printer & Scanner Parts & Accs:Laser Drums"
1521,"Sporting Goods:Exercise & Fitness:Gym, Workout & Yoga:Other"
155141,Sporting Goods:Water Sports:Surfing:Skimboards
15849,Real Estate:Land:Northeastern U.S.:New Hampshire
67278,"Computers & Networking:Networking & Communications:Network Cables & Connectors:Connectors, Couplers & Plugs:RJ11"
75205,Sporting Goods:Climbing:Bags
29582,Health & Beauty:Skin Care:Exfoliators & Scrubs
165588,Collectibles:Linens & Textiles (1930-Now):Table Linens:Other Vintage Table Linens
104744,Entertainment Memorabilia:Music Memorabilia:Rock & Pop:Artists G:Other Rock & Pop Artists G
168100,Electronics:iPod & MP3 Accessories:For MP3 Players:Bluetooth Adapters
101973,Musical Instruments & Gear:Guitars & Basses:Parts & Accessories:Effects Pedals:Filter & Modulation
44948,Computers & Networking:Desktop & Laptop Accessories:Power Supplies for Desktop PC:AT Power Supply
41782,"Musical Instruments & Gear:Instruction Books, CDs & Video:Percussion"
140105,Health & Beauty:Hair Care:Straightening Irons:GHD
106243,Health & Beauty:Fragrances:Men:Liz Claiborne:Spark
261799,Sporting Goods:Team Sports:Gymnastics:Air Pumps
149365,Collectibles:Cultures & Ethnicities:Asian:1900-Now:Chinese:Lanterns
101351,Computers & Networking:Scanners:Business Card Scanners
261707,Collectibles:Kitchen & Home:Small Appliances:Handheld Mixers
91384,Musical Instruments & Gear:DJ Equipment:DJ CD/MP3 Players
10888,Collectibles:Animals:Wild Animals:Lions
199,Movies:Memorabilia:Movie:Lithographs
60316,Entertainment Memorabilia:Movie Memorabilia:Photographs:1950-59:Color
160750,Crafts:Wholesale Lots:Fabric
35956,Collectibles:Transportation:Automobilia:License Plates:US: Washington
38144,Collectibles:Kitchen & Home:Kitchenware:Cookie Jars:Modern (1970-Now):Buildings
159016,"Sporting Goods:Outdoor Sports:Equestrian:Stable, Care & Grooming:Mane, Coat & Tail Products"
1120,Books:Antiquarian & Collectible:First Editions:Unsigned:Other
145879,Dolls & Bears:Dolls:Barbie Contemporary (1973-Now):Barbie Dolls:Pop Culture Barbie:Avon
71177,Crafts:Multi-Purpose Craft Supplies:Crafting Pieces:Wine Corks
56190,Sporting Goods:Outdoor Sports:Cycling:Bicycle Parts:BMX Bike Parts:Pedals
104041,"Collectibles:Tools, Hardware & Locks:Tools:Carpentry, Woodworking:Vises, Clamps"
184333,Business & Industrial:Cleaning & Janitorial Supplies:Floor & Upholstery Cleaning:Extractors & Steam Cleaners:Other Extractor Parts & Accessories
94841,Consumer Electronics:Car Electronics:Car Video & Navigation:Car Video Units W/out GPS/Nav:Kenwood
156423,"Collectibles:Militaria:WW II (1939-45):Original Period Items:Great Britain:Paper Items, Newspapers"
1288,Musical Instruments & Gear:General Accessories:Other General Accessories
259130,Collectibles:Comic Books & Memorabilia:Comic Book Supplies & Accs:Holders
58191,"Business & Industrial:Healthcare, Lab & Life Science:Lab Equipment:Analytical Instruments:PH-Meters"
60356,Entertainment Memorabilia:Movie Memorabilia:Press Kits:1980-89
146294,"Crafts:Beads & Jewelry Making:Beads, Pearls & Charms:Beads:Czech, Glass"
554,Art:Mixed Media Art & Collage Art
134284,Baby:Toys:Developmental Baby Toys:Vtech
48765,Crafts:Needlecrafts & Yarn:Yarn:Chenille
104700,"Entertainment Memorabilia:Music Memorabilia:Rock & Pop:Artists R:Raitt, Bonnie"
116,Collectibles:Sewing (1930-Now):Thimbles:Other Vintage Thimbles
71101,Sporting Goods:Equestrian:Care & Grooming:Grooming Supplies:Brushes
155292,Collectibles:Comics:Modern Age (1992-Now):By Publisher:First
45062,"Collectibles:Wholesale Lots:Pins, Buttons"
148491,Health & Beauty:Makeup:Lip Gloss:Bare Escentuals
73315,"Computers & Networking:Networking:KVM Switch Boxes, Cables:KVM Switch Boxes:5 Ports & Higher:Cybex"
891,Collectibles:Bottles & Insulators:Bottles:Antique (Pre-1900):Flasks
47310,Sporting Goods:Golf:Accessories:Headcovers:Adams
157021,"Collectibles:Rocks, Fossils & Minerals:Shells:Turbo"
83992,Crafts:Scrapbooking:Kits:Anna Griffin
165459,Collectibles:Comics:Full Sets
51287,Computers & Networking:Computer Accessories:Cables & Connectors:Printer Cables & Extenders:USB to Parallel (IEEE 1284)
156571,Computers & Networking:Printer Supplies & Accessories:Ink Cartridges-Color:Canon Compatible:Empty Cartridges
106905,"Collectibles:Animation Art & Characters:Japanese, Anime:Mazinger"
11655,Collectibles:Kitchen & Home:Small Appliances:Waffle Makers
36206,Sporting Goods:Golf:Fairway Woods:Cleveland
184493,Health & Beauty:Vitamins & Lifestyle Supplements:Dietary Supplement Accessories:Shake Bottles & Mixers
67508,Health & Beauty:Fragrances:Men:Swiss Army
163828,Musical Instruments & Gear:Karaoke Entertainment:Other Karaoke Entertainment
13961,Collectibles:Militaria:Civil War (1861-65):Reenactment & Reproductions:Other Civil War Reproductions
2241,Books:Magazines & Catalogs:Magazine Back Issues:Automobile:Other
117302,"Health & Beauty:Bath & Body:Body Wash, Shower Gel:Philosophy"
46750,"Books:Wholesale, Bulk Lots:Hardcover:101-500"
10547,Collectibles:Comics:Storage Supplies
57098,"Business & Industrial:Restaurant & Food Service:Furniture, Signs & Décor:Restaurant Décor"
44987,Computers & Networking:Desktop & Laptop Components:Video Cards for Desktop PC:S3-Based Other Brands
257888,"Business & Industrial:Heavy Equipment, Parts & Attachments:Heavy Equipment Parts & Accessories:Heavy Equipment Manuals & Books"
393,Dolls & Bears:Bears:Steiff:Modern (1970-Now)
22513,Musical Instruments & Gear:Stage Lighting & Effects:Lighting Effects:Dimmer & Switchpacks
156362,Collectibles:Historical Memorabilia:Firefighting & Rescue:Patches:International
29218,Books:Antiquarian & Collectible:Antiquarian:Law & Government
181212,Musical Instruments & Gear:Vintage Musical Instruments:Vintage Wind & Woodwind:Folk & World:Bagpipes
41895,Books:Nonfiction:History:United States:Midwest
117510,Business & Industrial:Manufacturing & Metalworking:Metals & Alloys:Steel:Stainless:Bar & Rod
162089,Crafts:Beads & Jewelry Making:Beading & Jewelry Making Tools:Jewelry Making Tool Sets
10889,Collectibles:Animals:Wild Animals:Monkeys
36037,Collectibles:Militaria:Civil War (1861-65):Original Period Items:Edged Weapons
73386,Consumer Electronics:Televisions:Accessories & Cables:Video Cables:DVI:Analog
48644,"Consumer Electronics:TV, Video & Home Audio:TV, Video & Audio Accessories:Manuals & Resources"
11784,Crafts:Art Supplies:Drawing & Lettering Supplies:Other Drawing Supplies
67277,"Computers & Networking:Networking & Communications:Network Cables & Connectors:Connectors, Couplers & Plugs:Coaxial, TV"
94914,Consumer Electronics:DVD Players & Recorders:DVD Recorders:JVC
29334,Books:Nonfiction:Home & Garden:Other
150127,Computers & Networking:Desktop & Laptop Components:Sound Cards for Desktop PC:X-Fi
260715,Sporting Goods:Winter Sports:Ice Skating:Ice Skate Accessories
165516,"Collectibles:Postcards:US States, Cities & Towns:Connecticut"
25271,"Business & Industrial:CNC, Metalworking & Manufacturing:Metalworking Inspection & Measurement:CMM Machines & Comparators"
159737,Health & Beauty:Makeup:Foundation:Almay
116613,"Crafts:Embroidery:Hand Embroidery Thread, Floss:Rayon Thread"
159755,Health & Beauty:Shaving & Hair Removal:Razors & Razor Blades:Women's
185245,"Business & Industrial:Healthcare, Lab & Dental:Medical & Lab Equipment, Devices:Ultrasonic Cleaners"
13656,Collectibles:Animals:Wild Animals:Polar Bears
161826,Sporting Goods:Fishing:Terminal Tackle:Sinkers & Weights
56187,"Sporting Goods:Cycling:BMX Bikes & Parts:Parts & Accessories:Decals, Stickers"
80067,"Computers & Networking:Apple, Macintosh Computers:Apple Parts & Accessories:Apple Cables, Connectors:USB"
111800,Crafts:Multi-Purpose Craft Supplies:Crafting Pieces:Felt Sheets
48799,Collectibles:Holiday & Seasonal:Christmas: Modern (1946-90):Villages & Houses
104709,Entertainment Memorabilia:Music Memorabilia:Rock & Pop:Artists C:Cher:Photos
77994,Collectibles:Holiday & Seasonal:Nativity Items
582,Collectibles:Transportation:Maps & Atlases:Maps:Other Collectible Maps
79878,"Consumer Electronics:Apple iPod, MP3 Players:Sony"
181184,Musical Instruments & Gear:Vintage Musical Instruments:Vintage Percussion:Hand Percussion:Singing Bowls
41427,"Musical Instruments:Guitar:Parts, Accessories:Pickups:EMG"
75212,Sporting Goods:Scooters:Gas Scooters:36cc and Lower
184311,Business & Industrial:Cleaning & Janitorial Supplies:Sanitation Steam Cleaners:Steam Cleaner Parts & Accessories
981,Collectibles:Kitchen & Home:Tableware:Hollowware
109266,Consumer Electronics:Satellite Radio:Satellite Radio Accessories:Sirius:Accessory Kits
181206,Musical Instruments & Gear:Vintage Musical Instruments:Vintage Wind & Woodwind:Band & Orchestral:Oboes
96909,Computers & Networking:Apple Computers & Components:Apple Components:Chargers
67537,Health & Beauty:Fragrances:Women:Kenneth Cole
62032,"Computers & Networking:Networking:Home Networking, Cable & DSL:Cable & DSL Routers, Switches:Siemens"
42195,"Computers & Networking:Desktop & Laptop Accessories:PCMCIA Cards for Laptops:Network, Ethernet, LAN Cards:Xircom"
106899,"Collectibles:Animation Art & Characters:Japanese, Anime:InuYasha:Books, Manga, Doujinshi"
160654,Crafts:Handcrafted & Finished Pieces:Holiday:Halloween
146322,Crafts:Glass Art Crafts:Bullseye Glass
13805,"Collectibles:Decorative Collectibles:Decorative Collectible Brands:Hummel, Goebel:Bells"
3878,Collectibles:Advertising:Automobiles:British:Triumph
108002,Health & Beauty:Natural & Alternative Remedies:Electrotherapy
45167,Health & Beauty:Bath & Body:Body Lotion:Bath & Body Works:Citrus Scents
98198,Consumer Electronics:Portable Audio/Video:Portable Media Centers
11908,Business & Industrial:Office:Telecom Systems:Phone Switching Systems & PBXs
13836,Collectibles:Decorative Collectibles:Spoons
150049,Crafts:Beads & Jewelry Making:Jewelry Findings:Jewelry Clasps & Hooks
146401,Crafts:Scrapbooking & Paper Crafts:Scrapbooking:Scrapbooking Totes
103985,Collectibles:Historical Memorabilia:Police:Belts & Belt Buckles
105038,Entertainment Memorabilia:Music Memorabilia:Rock & Pop:Artists S:Slayer
153010,"Toys & Hobbies:TV, Movie, Character Toys:Muppets, Sesame Street:Abby Cadabby"
16094,Home & Garden:Wedding & Party Supplies:Greeting Cards:Birthday
101686,Sporting Goods:Outdoor Sports:Climbing & Caving:Books & Video
258041,Toys & Hobbies:Building Toys:Building Toys & Blocks:Building Toy Pieces & Parts
772,Toys & Hobbies:Marbles:Pre-1970:Hand Made
180315,Toys & Hobbies:Model Railroads & Trains:OO Scale:Parts & Accessories:Catenaries
1786,ecom Premier:Furniture & Decorative Arts:Furniture: Modern:Dealers
3330,Cameras & Photo:Film Cameras:35mm Point & Shoot:Leica
183471,"Toys & Hobbies:Radio Control & Control Line:RC Model Vehicle Parts & Accs:Control, Radio & Electronics:PCBs, Switch/Function Modules"
12748,ecom Premier:Collectibles & Memorabilia:Animation Art:Icollector
12746,ecom Premier:Jewelry & Timepieces:Timepieces:Icollector
50299,"Toys & Hobbies:Models, Kits:Military:Air:Italeri"
48545,Cameras & Photo:Camera Accessories:Digital Camera Accessories:Memory Card Readers & Adapters:PCMCIA Adapters
47221,"Toys & Hobbies:Diecast Toy Vehicles:Cars, Trucks-Pressed Steel:Modern (1970-Now):Tonka"
168210,"Toys & Hobbies:TV, Movie & Character Toys:Madagascar"
2192,Everything Else:Automotive:Collector Vehicles:General
158669,Toys & Hobbies:Action Figures:By Brand:Other
16484,"Toys & Hobbies:Diecast Toy Vehicles:Cars, Trucks-Diecast:NASCAR:Team Caliber:Other"
28371,Sothebys.com:Collectibles & Memorabilia:Cameras
152383,Cameras & Photo:Lenses & Filters:Digital Camera Lenses:Digital SLR Lenses:To fit Nikon:Zoom
16383,ecom Premier:Fine Arts:Fine Photos:Skinner
50269,Toys & Hobbies:Action Figures:Star Wars:NeoClassic (1990-2000):Power of the Jedi:Figures
14166,ecom Premier:Fine Arts:Painting: European:Neale & Sons
4414,Great Collections:Books & Manuscripts:Books: Sci-Fi:Dealer Networks
142345,Toys & Hobbies:Trading Card Games:Magic the Gathering:Individual Cards:Coldsnap
28432,Sothebys.com:Furniture & Decorative Arts:Rugs & Carpets:Modern - Post-1945
178210,Everything Else:Test Category For Internal Use Only Parent Level 2:ecom Test Only:Group 5:Category 19
158674,Toys & Hobbies:Action Figures:Comic Book Heroes:Marvel Select
180271,"Toys & Hobbies:Diecast & Toy Vehicles:Cars: Racing, NASCAR:Rally Cars"
158770,Toys & Hobbies:Stuffed Animals:Webkinz:Webkinz-Retired
19001,Toys & Hobbies:Building Toys:Building Toys Minifigures
262304,Toys & Hobbies:Model Railroads & Trains:Railroads & Trains:Passenger Cars
21277,ecom Premier:Books & Manuscripts:Other:Alibris
146113,"Toys & Hobbies:TV, Movie, Character Toys:Winnie the Pooh:Figures"
113526,"Toys & Hobbies:Games:Miniatures, War Games:Reaper"
158764,"Toys & Hobbies:TV, Movie & Character Toys:Disney:High School Musical"
168141,Pet Supplies:Fish & Aquariums:Live Fish
79636,Home & Garden:Inside the Home:Furniture:Living Room:Futons:Futon Mattresses
49214,Toys & Hobbies:Radio Control:Radio Control Vehicles:Cars:Mugen
54257,Home & Garden:Bedding:Pillowcases
1631,Toys & Hobbies:Bean Bag Plush:Ty Other Products:Pillow Pals: Current
112553,"Home & Garden:Bath:Showers, Bathtubs & Parts:Shower Enclosures"
20662,"Home & Garden:Kitchen, Dining & Bar:Linens & Textiles:Table Runners"
131604,Home & Garden:Kids & Teens at Home:Furniture:Beds & Bedframes
230,Toys & Hobbies:Stuffed Animals:Other Stuffed Animals
19024,Toys & Hobbies:Classic Toys:Rocking Horses
116487,Home & Garden:Window Treatments:Sheers
7324,ecom Premier:Asian Art:Southeast Asian:Butterfields
58510,Coins & Paper Money:Paper Money: World:Europe:Greece
163331,"Clothing, Shoes & Accessories:Boys:Clothing (Sizes 16/18 & Up):Shirts & T-Shirts"
314,"Clothing, Shoes & Accessories:Women's Clothing:Other Women's Clothing"
162059,Stamps:Publications & Supplies:Mounts & Hinges
163014,Collectibles:Kitchen & Home:Major Appliances & Bathroom Fixtures:Ice Boxes
63876,"Clothing, Shoes & Accessories:Women's Clothing:Petites:Sweaters"
11944,Coins & Paper Money:Coins: US:Small Cents:Lincoln Wheat (1909-1958):Mixed Lots
162170,Coins & Paper Money:Coins: World:North & Central America:Bermuda
175786,"Clothing, Shoes & Accessories:Specialty:Vintage:Women's Vintage Clothing:Sweaters"
41111,Coins & Paper Money:Coins: US:Proof Sets:1950-55
50884,Sporting Goods:Skateboarding:Apparel & Shoes:Shoes:6.5 & Smaller
162948,Antiques:Asian Antiques:China:Statues:Birds
73886,"Sporting Goods:Baseball & Softball:Apparel & Footwear:Jerseys, Shirts:Jerseys:Large"
162198,Coins & Paper Money:Paper Money: World:North & Central America:Bermuda
148485,"Clothing, Shoes & Accessories:Wedding Apparel:Men's Attire & Accessories:Kilts, Kiltwear"
173629,Coins & Paper Money:Coins: World:North & Central America:Mexico:Colonial (up to 1821)
123796,Stamps:Middle East:Jordan
163630,"Clothing, Shoes & Accessories:Vintage:Men's Vintage Shoes:Dress Shoes"
152525,"Clothing, Shoes & Accessories:Boys:Clothing (Sizes 12/14):Sweatshirts, Hoodies"
156790,"Clothing, Shoes & Accessories:Kids:Boys:Boys' Clothing (Sizes 4 & Up):Outfits & Sets"
163425,"Clothing, Shoes & Accessories:Baby & Toddler Clothing:Unisex Clothing (Newborn-5T):One-Pieces"
147188,"Clothing, Shoes & Accessories:Infants & Toddlers:Girls' Clothing:18-24 Months:Swimwear:One Piece"
163371,"Clothing, Shoes & Accessories:Infants & Toddlers:Girls' Clothing:Size 4T:Outerwear:Vests"
41149,Collectibles:Decorative Collectibles:Decorative Collectible Brands:Hallmark:Maxine
40413,Stamps:Europe:Netherlands & Colonies
171524,Coins & Paper Money:Coins: US:Small Cents:Lincoln Bicentennial (2009)
155231,"Clothing, Shoes & Accessories:Vintage:Men's Vintage Clothing:1977-89 (Punk, New Wave, 80s):Swimwear"
3264,"Clothing, Shoes & Accessories:Wedding Apparel & Accessories:Men's Attire & Accessories:Other"
21094,"Coins & Paper Money:Stocks & Bonds, Scripophily:Mixed Lots"
163548,"Clothing, Shoes & Accessories:Unisex Clothing, Shoes & Accs:Unisex Accessories:Hats:Trucker"
152564,"Clothing, Shoes & Accessories:Girls:Clothing (Size 5):Jeans, Pants & Shorts:Khakis, Chinos"
3477,Stamps:Canada:Other Canadian Stamps
175779,"Clothing, Shoes & Accessories:Specialty:Vintage:Men's Vintage Clothing:Swimwear"
152329,"Clothing, Shoes & Accessories:Boys:Clothing (Size 5):Jeans, Pants & Shorts:Khakis, Chinos"
162194,Coins & Paper Money:Paper Money: World:Replicas & Reproductions
57941,"Clothing, Shoes & Accessories:Boys:Shoes:Mixed Items & Lots"
45153,Coins & Paper Money:Coins: World:Europe:Hungary
15600,"Clothing, Shoes & Accessories:Infants & Toddlers:Boys' Clothing:Size 2T:Outfits & Sets"
105417,"Clothing, Shoes & Accessories:Specialty:Uniforms & Work Clothing:Lab Coats"
15800,"Clothing, Shoes & Accessories:Women's Clothing:Petites:Mixed Petite Items"
47172,Stamps:Europe:Iceland
1264,"Clothing, Shoes & Accessories:Women's Clothing:Maternity:Other Maternity Clothing"
152578,"Clothing, Shoes & Accessories:Girls:Clothing (Size 5):Jeans, Pants & Shorts:Overalls"
179346,Stamps:Australia & Oceania:Micronesia
39472,"Coins & Paper Money:Coins: US:Gold (Pre-1933):$20, Double Eagle"
163527,"Clothing, Shoes & Accessories:Uniforms & Work Clothing:Shoes"
163462,"Clothing, Shoes & Accessories:Girls:Clothing (Size 4):Jeans, Pants & Shorts:Mixed Items & Lots"
163468,"Clothing, Shoes & Accessories:Girls:Clothing (Size 5):Dresses:Pageant"
147348,"Clothing, Shoes & Accessories:Infants & Toddlers:Boys' Clothing:Size 4T:Jeans, Pants & Shorts:Jeans"
11969,Coins & Paper Money:Coins: US:Half Dollars:Early Halves (1794-1839)
45243,"Clothing, Shoes & Accessories:Women's Accessories:Scarves & Wraps:Silk:Pattern, Print"
163298,"Clothing, Shoes & Accessories:Boys:Clothing (Size 6):Outerwear:Vests"
66862,Antiques:Furniture:Sideboards & Buffets:1900-1950
131474,"Clothing, Shoes & Accessories:Specialty:Wedding & Formal Occasion:Mother of the Bride"
162949,Antiques:Asian Antiques:China:Statues:Dogs
