LEAF_CATEG_ID,LEAF_CATEG_NAME
119384,ecom Motors:SUVs:Chevrolet:Equinox
6405,ecom Motors:Cars & Trucks:Oldsmobile:Cutlass
3972,Collectibles:Comics:Golden Age (1938-55):Cartoon Character
1279,Health & Beauty:Natural & Homeopathic Remedies:Other
58077,"Sporting Goods:Outdoor Sports:Cycling:Clothing, Shoes & Accessories:Helmets:Adult Helmets"
48606,Consumer Electronics:Vehicle Electronics & GPS:Car Video:Car Monitors w/o Player
6726,ecom Motors:Powersports:ATVs:Other Makes
42590,ecom Motors:Powersports:ATVs:Kawasaki
42599,ecom Motors:Powersports:Snowmobiles:Yamaha
42594,ecom Motors:Powersports:Scooters & Mopeds:Yamaha
63737,ecom Motors:Other Vehicles:Commercial Trucks:Tow Trucks:Other Tow Trucks
26432,ecom Motors:Other Vehicles & Trailers:Boats:Powerboats & Motorboats:Other Powerboats 28+ feet
80767,ecom Motors:Other Vehicles & Trailers:Trailers:Horse Trailers
50062,ecom Motors:Other Vehicles & Trailers:RVs & Campers:Towable RVs & Campers:Fifth Wheel RVs
80762,ecom Motors:Other Vehicles & Trailers:Commercial Trucks:Van/Box Trucks:Box Trucks & Cube Vans
18887,Pottery & Glass:Pottery & China:China & Dinnerware:Royal Staffordshire/Wilkinson
184800,"ecom Motors:Parts & Accessories:Commercial Truck Parts:Exterior, Body & Frame:Frames"
33570,ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Towing Parts & Accessories:Trailer Brake Controllers
140702,ecom Motors:Parts & Accessories:Vintage Car & Truck Parts:Exterior:Doors & Door Handles
26444,ecom Motors:Parts & Accessories:Boat Parts:Electronics & Navigation:Other Electronics & Navigation
169382,"ecom Motors:Parts & Accessories:In-Car Technology, GPS & Security:In-Car Entertainment:CD & DVD Changers"
43991,ecom Motors:Automotive Tools & Supplies:Hand Tools:Precision & Measuring Tools
184848,"ecom Motors:Parts & Accessories:Commercial Truck Parts:Ignition, Charging & Starting:Generators"
43997,ecom Motors:Parts & Accessories:Tools:Paint & Body Shop Supplies
175549,"ecom Motors:Parts & Accessories:Performance & Racing Parts:Auto Performance Parts:Chassis, Suspension & Brakes:Racing Pads"
43959,"ecom Motors:Parts & Accessories:Car & Truck Parts:Wheels, Tires & Parts:Wheels:19''"
262261,"ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Transmission & Drivetrain:Wiring, Harnesses & Connectors"
46100,ecom Motors:Parts & Accessories:Car & Truck Parts:Gauges:Other
33575,"ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Starters, Alternators, ECUs & Wiring:Battery Accessories"
169329,ecom Motors:Parts & Accessories:Car Electronics:Alarms & Security:Remote Start/Alarm Combos:With 2-Way Paging
33583,ecom Motors:Parts & Accessories:Car & Truck Parts:Suspension & Steering:Control Arms & Parts
263299,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Electrical & Ignition Components:Electrical & Ignition Sensors & Switches:Ignition Key Switches"
261444,"ecom Motors:Parts & Accessories:RV, Trailer & Camper Parts & Accessories:Awnings, Pop-Top Roofs & Covers:Elevating & Pop-Top Roofs"
38642,"ecom Motors:Parts & Accessories:In-Car Technology, GPS & Security:Electronic Accessories:Other Electronic Accessories"
263313,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Lighting & Lamps:Headlight Ballasts & Igniters"
184882,ecom Motors:Parts & Accessories:Commercial Truck Parts:Lighting:Interior Lights
184909,ecom Motors:Parts & Accessories:Commercial Truck Parts:Transmission & Drivetrain:Driveshafts
173671,ecom Motors:Parts & Accessories:Performance & Racing Parts:Racing Equipment:Shop Equipment
34244,ecom Motors:Parts & Accessories:Motorcycle:Accessories:Saddle Bags
263393,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Engines & Engine Parts:Oil Filters"
34270,ecom Motors:Parts & Accessories:Motorcycle:Engines & Components
169395,"ecom Motors:Parts & Accessories:In-Car Technology, GPS & Security:Electronic Accessories:Screens"
263268,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Electric ATV, SxS & UTV Parts:Conversion Kits"
43993,ecom Motors:Parts & Accessories:Automotive Tools & Supplies:Hand Tools:Sockets & Ratchets
100461,ecom Motors:Parts & Accessories:Snowmobile Parts:Seats
183512,"ecom Motors:Parts & Accessories:Apparel, Protective Gear & Merchandise:Protective Gear:Knee Protectors"
263207,ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Electric Motorcycle & Scooter Parts:Charging Components:Other Charging Components
184686,ecom Motors:Parts & Accessories:Commercial Truck Parts:Air Intake & Fuel Delivery:Fuel Lines
263048,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Wheels, Tires & Parts:Tires"
263099,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Footrests, Pedals & Pegs:Floorboards & Parts"
262117,ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Engine Cooling Components:Caps
263317,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Lighting & Lamps:Tail & Brake Light Assemblies"
263335,ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Engines & Engine Parts:Brackets & Hardware
184921,ecom Motors:Parts & Accessories:Commercial Truck Parts:Wheels & Tires:Hubs
263206,ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Electric Motorcycle & Scooter Parts:Charging Components:Charging Upgrade Kits
263264,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Electric ATV, SxS & UTV Parts:Charging Components:Charger Holders"
33744,"ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Wheels, Tires & Parts:Wheel Hub Caps, Center Caps & Trim Rings:Wheel Hub Caps & Trim Rings"
6775,ecom Motors:Parts & Accessories:Car & Truck:Interior:Other
177979,ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Engines & Engine Parts:Valvetrain Components:Engine Valves
180024,ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Engines & Engine Parts:Oil Tanks
35595,ecom Motors:Parts & Accessories:Motorcycle Parts:Asian:Engines & Components
177948,ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Transmission & Drivetrain:Clutch Parts & Kits:Clutch Covers
178925,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Brakes & Brake Parts:Brake Pads"
179477,ecom Motors:Automotive Tools & Supplies:Diagnostic Service Tools:Compression & Vacuum Testers
184858,"ecom Motors:Parts & Accessories:Commercial Truck Parts:Instruments, Dials & Gauges:Speedometers"
184925,ecom Motors:Parts & Accessories:Commercial Truck Parts:Wheels & Tires:Valve Caps & Stems
33619,ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Engines & Engine Parts:Engine Bearings
84146,ecom Motors:Parts & Accessories:Motorcycle Parts:Luggage & Saddlebags
262156,"ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Exterior Parts & Accessories:Hoods:Hinges, Latches & Additional Hood Components"
261474,"ecom Motors:Parts & Accessories:RV, Trailer & Camper Parts & Accessories:Satellite & TV Technology:Control Panels & Remote Controls"
177925,ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Brakes & Brake Parts:Brake Pads
183520,"ecom Motors:Parts & Accessories:Motorcycle Maintenance, Stands & Towing:Care, Cleaning & Protection:Cleaners & Degreasers"
183728,"ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Body & Frame:Seats, Parts & Accessories:Seat Covers"
39405,ecom Motors:Parts & Accessories:Salvage Parts Cars:1969 and earlier
262255,ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Transmission & Drivetrain:Oil Coolers & Lines
179450,ecom Motors:Automotive Tools & Supplies:Automotive Care & Detailing:Car Wash Soap
183511,"ecom Motors:Parts & Accessories:Apparel, Protective Gear & Merchandise:Protective Gear:Kidney Belts"
169347,"ecom Motors:Parts & Accessories:In-Car Technology, GPS & Security:Electronic Accessories:Cables & Extensions"
184673,ecom Motors:Parts & Accessories:Commercial Truck Parts:Accessories:Navigation
171110,"ecom Motors:Parts & Accessories:RV, Trailer & Camper Parts:Engines & Components:Complete RV Engines"
80740,ecom Motors:Parts & Accessories:Vintage Car & Truck Parts:Glass
263254,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Electric ATV, SxS & UTV Parts:Batteries, BMS & Charging Units:Batteries"
184884,ecom Motors:Parts & Accessories:Commercial Truck Parts:Lighting:Light Bulbs
184670,ecom Motors:Parts & Accessories:Commercial Truck Parts:Other Commercial Truck Parts
43988,"ecom Motors:Parts & Accessories:Automotive Tools & Supplies:Air Tools:Wrenches, Ratchets, & Drills"
25642,ecom Motors:Parts & Accessories:Motorcycle Accessories:Weather Protection:Covers & Tarpaulins
179439,ecom Motors:Automotive Tools & Supplies:Auto Paints & Supplies:Specialty Paint & Coatings:Other Specialty Paint
261445,"ecom Motors:Parts & Accessories:RV, Trailer & Camper Parts & Accessories:Awnings, Pop-Top Roofs & Covers:Elevating & Pop-Top Roof Parts"
263407,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Engines & Engine Parts:Valvetrain Components:Engine Valves"
262217,ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Racks & Cargo Carriers:Cargo Bars
6779,ecom Motors:Parts & Accessories:Car & Truck Parts:Safety & Security:Other Safety & Security
262986,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Steering & Suspension:Steering Bearings"
175584,ecom Motors:Parts & Accessories:Performance & Racing Parts:Dirt Oval Racing Parts:Pro Stock
43974,ecom Motors:Parts & Accessories:ATV Parts:Brakes & Suspension
66473,"ecom Motors:Parts & Accessories:Car & Truck Parts:Wheels, Tires & Parts:Tires:15''"
43989,ecom Motors:Parts & Accessories:Automotive Tools & Supplies:Diagnostic Tools / Equipment
263307,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Electrical & Ignition Components:Wiring Harnesses, Cables & Connectors"
184850,"ecom Motors:Parts & Accessories:Commercial Truck Parts:Ignition, Charging & Starting:Starters"
140746,"ecom Motors:Parts & Accessories:Vintage Car & Truck Parts:Wheels, Tires & Hub Caps:Tires"
178029,"ecom Motors:Parts & Accessories:Motorcycle Parts:Wheels, Tires & Tubes:Valve Caps & Stems"
179501,ecom Motors:Automotive Tools & Supplies:Fluids & Chemicals:Transmission Fluid
26439,ecom Motors:Parts & Accessories:Aviation Parts & Accessories:Parts
263344,ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Engines & Engine Parts:Timing Components & Kits:Timing Kits
6766,ecom Motors:Parts & Accessories:Car & Truck:Exterior:Other
107067,"ecom Motors:Parts & Accessories:Performance & Racing Parts:Fasteners, Fluids & Gaskets"
61117,ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Air Conditioning & Heating:Cabin Air Filters
20924,Everything Else:ecom User Tools
179510,"ecom Motors:Automotive Tools & Supplies:Shop Equipment & Supplies:Grease Guns, Lubrication Tools"
263398,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Engines & Engine Parts:Service Kits"
263401,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Engines & Engine Parts:Timing Components & Kits:Sprockets"
184826,ecom Motors:Parts & Accessories:Commercial Truck Parts:Air Conditioning & Heating:A/C Accumulators
184871,ecom Motors:Parts & Accessories:Commercial Truck Parts:Interior:Seats & Seat Parts
180519,"ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Audio, Communication & Navigation:Speakers"
184724,ecom Motors:Parts & Accessories:Commercial Truck Parts:Cargo Heating & Refrigeration:Cargo Heating
263171,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Guards & Protection:Grille Guards & Light Protectors"
184751,ecom Motors:Parts & Accessories:Commercial Truck Parts:Engines & Components:Engine Rebuild Kits
15556,"Business, Office & Industrial:Large Lots, Wholesale:Informational CDs"
261436,"ecom Motors:Parts & Accessories:RV, Trailer & Camper Parts & Accessories:Gas Systems:Connectors"
263036,ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Suspension & Handling:Suspension Springs
